filename,item,condition,alpha,ink_total,ink_normalised,n_pixels
10A.png,10,A,0.25,5982.996078431373,0.004664900463162124,1282556
10B.png,10,B,0.5,11852.8,0.009241545788254117,1282556
10C.png,10,C,0.75,17518.580392156866,0.013659115385337503,1282556
10D.png,10,D,1,23162,0.01805925043428904,1282556
11A.png,11,A,0.25,5982.807843137255,0.004664753697411447,1282556
11B.png,11,B,0.5,11852.04705882353,0.009240958725251415,1282556
11C.png,11,C,0.75,17516.89803921569,0.01365780366644087,1282556
11D.png,11,D,1,23159,0.018056911355137747,1282556
12A.png,12,A,0.25,5984.313725490196,0.004665927823416842,1282556
12B.png,12,B,0.5,11858.070588235294,0.0092456552292729,1282556
12C.png,12,C,0.75,17530.3568627451,0.013668297417613797,1282556
12D.png,12,D,1,23183,0.01807562398834834,1282556
13A.png,13,A,0.25,5977.788235294118,0.004660839944060248,1282556
13B.png,13,B,0.5,11831.96862745098,0.009225303711846529,1282556
13C.png,13,C,0.75,17472.03529411765,0.013622824495864203,1282556
13D.png,13,D,1,23079,0.01799453591110256,1282556
14A.png,14,A,0.25,5983.058823529412,0.004664949385079041,1282556
14B.png,14,B,0.5,11853.050980392156,0.009241741475921666,1282556
14C.png,14,C,0.75,17519.141176470588,0.013659552624969644,1282556
14D.png,14,D,1,23163,0.01806003012733946,1282556
15A.png,15,A,0.25,5981.050980392157,0.004663383883738522,1282556
15B.png,15,B,0.5,11845.019607843136,0.00923547947055971,1282556
15C.png,15,C,0.75,17501.196078431374,0.01364556095673902,1282556
15D.png,15,D,1,23131,0.018035079949725447,1282556
16A.png,16,A,0.25,5984.690196078432,0.004666221354918193,1282556
16B.png,16,B,0.5,11859.576470588236,0.009246829355278208,1282556
16C.png,16,C,0.75,17533.721568627454,0.013670920855407038,1282556
16D.png,16,D,1,23189,0.018080302146650823,1282556
17A.png,17,A,0.25,5984.752941176471,0.004666270276835048,1282556
17B.png,17,B,0.5,11859.827450980392,0.009247025042945823,1282556
17C.png,17,C,0.75,17534.28235294118,0.013671358095039296,1282556
17D.png,17,D,1,23190,0.01808108183970141,1282556
18A.png,18,A,0.25,5983.874509803922,0.004665585369998586,1282556
