additive_raw_pl,opacity_raw,size_raw,my_rs,difference,standard_curve,additive_power,opacity_power,size_power,two_size_added,size_added,opacity_added,both_added,rotated_curve
0.4365849719,0.2071495252,0.3183647511,0.2,-0.2365849719,0.2176932716,0.2188917002,-0.0105437464,0.1006714794,0.4190362305,0.3183647511,0.2071495252,0.3078210046,0.4525957357
0.4281378809,0.2125043988,0.2746996713,0.217954545,-0.2101833359,0.2225515563,0.2055863247,-0.0100471575,0.052148115,0.3268477862,0.2746996713,0.2125043988,0.2646525138,0.3590355484
0.4403228648,0.2010691252,0.3008573173,0.235909091,-0.2044137738,0.2264980466,0.2138248182,-0.0254289214,0.0743592707,0.375216588,0.3008573173,0.2010691252,0.2754283959,0.4052626197
0.4484389532,0.2186218392,0.3101585813,0.253863636,-0.1945753172,0.2322646706,0.2161742827,-0.0136428314,0.0778939107,0.388052492,0.3101585813,0.2186218392,0.2965157499,0.4161514462
0.4209724944,0.2202439081,0.3167743053,0.271818182,-0.1491543124,0.2454159411,0.1755565534,-0.025172033,0.0713583642,0.3881326694,0.3167743053,0.2202439081,0.2916022722,0.4143544234
0.462887849,0.2210073931,0.3134413286,0.289772727,-0.173115122,0.2308342137,0.2320536352,-0.0098268206,0.0826071148,0.3960484434,0.3134413286,0.2210073931,0.303614508,0.4203500729
0.4565028497,0.2631715673,0.3284864525,0.307727273,-0.1487755767,0.2343042932,0.2221985566,0.0288672741,0.0941821594,0.4226686119,0.3284864525,0.2631715673,0.3573537266,0.4449476522
0.4762421861,0.2357810624,0.3238412955,0.325681818,-0.1505603681,0.2354458314,0.2407963547,3.352309800964126e-4,0.0883954641,0.4122367595,0.3238412955,0.2357810624,0.3241765264,0.4326961857
0.4684350063,0.2511425658,0.3504944235,0.343636364,-0.1247986423,0.2379356096,0.2304993967,0.0132069563,0.1125588139,0.4630532374,0.3504944235,0.2511425658,0.3637013797,0.4813575245
0.4946818603,0.2745158727,0.3645625389,0.361590909,-0.1330909513,0.2615296765,0.2331521838,0.0129861962,0.1030328624,0.4675954014,0.3645625389,0.2745158727,0.3775487352,0.483998045
