Number,Statements,Topic_Emotionality,Strength_of_Correlation,Notes
1,Higher consumption of fruits and vegetables is associated with lower risks of heart disease.,3,6,
2,Increased physical activity leads to improved mental health.,4,6,
3,"As educational attainment rises, unemployment rates typically decrease.",3,5,
4,Greater social media usage is linked with higher levels of anxiety.,4,5,
5,Increased sugar intake is associated with a higher risk of type 2 diabetes.,2,7,
6,Higher levels of air pollution are correlated with increased respiratory problems.,2,7,
7,More frequent reading in childhood is associated with better language skills in adulthood.,4,5,
8,"As global temperatures rise, ice caps and glaciers melt at a faster rate.",2,7,
9,Greater water consumption is linked to improved kidney function.,4,4,
10,Higher levels of job satisfaction are associated with lower employee turnover rates.,4,4,
11,"As the amount of sleep decreases, the risk of obesity increases.",3,3,
12,Increased exposure to sunlight is correlated with higher vitamin D levels.,4,6,
13,Greater involvement in community activities is linked with higher levels of happiness.,4,4,
14,"As caffeine consumption increases, so does the average heart rate.",4,6,
15,Higher educational investments in a country are associated with better economic growth.,5,5,
16,Increased alcohol consumption is linked to higher risks of liver disease.,2,7,
17,"As screen time increases, physical activity levels tend to decrease.",4,5,
18,Greater intake of omega-3 fatty acids is associated with lower inflammation levels.,4,4,too much subject knowledge required
19,Higher levels of parental involvement in education are correlated with better student performance.,4,4,
20,Increased urbanization is linked to higher levels of air pollution.,3,5,
21,"As personal savings rates rise, financial stability tends to improve.",4,4,
22,Greater consumption of processed foods is associated with an increased risk of chronic diseases.,2,4,
23,"As the use of renewable energy sources increases, greenhouse gas emissions decrease.",2,6,
24,Higher stress levels are linked to a greater risk of heart disease.,1,6,
25,Increased time spent in nature is associated with improved mental health.,4,4,
26,"As the population density increases, the spread of infectious diseases becomes more likely.",2,6,
27,Greater frequency of exercise is linked to a lower risk of depression.,3,5,
28,Higher dietary fiber intake is associated with lower rates of colorectal cancer.,2,4,
29,"As water scarcity increases, agricultural yields tend to decrease.",2,5,
30,Increased use of antibiotics is linked to the development of antibiotic-resistant bacteria.,2,6,too much subject knowledge required
31,Higher consumption of antioxidants is associated with a lower risk of certain cancers.,1,3,too much subject knowledge required
32,"As public transportation usage increases, urban air quality tends to improve.",4,4,
33,Greater exposure to music education is linked to enhanced cognitive development in children.,4,3,
34,Higher levels of social support are associated with better recovery outcomes for mental health conditions.,2,4,
35,Increased consumption of fast food is linked to obesity.,2,5,
36,"As voter turnout increases, the representation of public interests in government may improve.",4,3,
37,Greater use of helmets is associated with a lower incidence of head injuries in cyclists.,2,6,
38,Higher minimum wages are linked to reduced poverty rates.,2,5,
39,"As the frequency of handwashing increases, the spread of common illnesses decreases.",4,5,
40,Increased green space in urban areas is associated with lower stress levels among residents.,4,4,
41,Higher intake of trans fats is linked to an increased risk of heart disease.,1,3,too much subject knowledge required
42,"As the quality of healthcare improves, life expectancy tends to increase.",3,7,
43,Greater exposure to secondhand smoke is associated with higher risks of respiratory diseases.,2,6,
44,Higher levels of job autonomy are linked to increased job satisfaction.,4,4,too much subject knowledge required
45,"As access to clean water improves, the incidence of waterborne diseases decreases.",5,6,
46,Increased participation in team sports is associated with better social skills in children.,4,6,
47,Higher alcohol taxes are linked to lower rates of alcohol-related harm.,2,3,
48,"As the number of trees in an area increases, air quality tends to improve.",4,4,
49,Greater use of digital devices before bedtime is associated with poorer sleep quality.,4,4,
50,Higher levels of empathy are linked to stronger interpersonal relationships.,4,5,
51,"As community safety improves, property values tend to increase.",3,4,
52,Increased intake of saturated fats is associated with higher cholesterol levels.,2,5,too much subject knowledge required
53,Greater frequency of meditation is linked to reduced stress levels.,4,4,
54,"As public spending on education increases, literacy rates tend to improve.",3,4,
55,Higher exposure to air conditioning is associated with increased respiratory issues.,4,1,
56,Increased levels of physical fitness are linked to lower mortality rates.,2,6,
57,"As soil quality degrades, agricultural productivity tends to decrease.",4,5,
58,Greater consumption of red meat is associated with an increased risk of heart disease.,2,5,
59,Higher levels of civic engagement are linked to a stronger sense of community.,4,5,
60,"As the amount of green space increases, urban temperatures tend to decrease.",4,3,
61,Increased exposure to violent media is associated with higher aggression levels.,3,4,
62,Greater intake of calcium is linked to improved bone health.,4,5,
63,"As diversity in the workplace increases, innovation and creativity may improve.",6,4,
64,Higher sugar consumption is associated with an increased risk of dental cavities.,3,5,
65,Increased mindfulness practice is linked to lower anxiety levels.,4,5,
66,"As the rate of deforestation increases, biodiversity tends to decrease.",2,5,too much subject knowledge required
67,Greater levels of trust in society are associated with lower crime rates.,1,3,too vague
68,Higher frequency of family meals is linked to better eating habits in children.,6,4,
69,Increased physical proximity to parks and recreational areas is associated with higher levels of physical activity.,6,4,
70,"As participation in community arts programs increases, local cultural engagement tends to rise.",4,2,too vague
71,Greater daily water intake is linked to enhanced skin hydration and appearance.,4,5,
72,Higher intake of vitamin C is associated with a reduced duration of the common cold.,4,4,too much subject knowledge required
73,"As the use of public transit increases, traffic congestion tends to decrease.",4,4,
74,Increased levels of financial literacy are linked to better personal finance management.,3,6,
75,Higher consumption of spicy foods is associated with a lower risk of certain types of cancer.,4,3,
76,"As indoor air quality improves, asthma symptoms tend to decrease.",2,6,
77,Greater social connectivity is linked to lower risks of dementia in older adults.,1,4,
78,Higher levels of bilingual education are associated with improved cognitive flexibility.,5,4,too much subject knowledge required
79,Increased frequency of laughter is linked to improved immune system function.,4,2,
80,"As the amount of recyclable waste increases, the environmental impact of waste decreases.",3,5,
81,Greater exposure to diverse cultures is associated with more open-minded attitudes.,5,4,controversial
82,Higher attendance at preventive health screenings is linked to earlier detection of diseases.,2,6,too much subject knowledge required
83,"As pet ownership increases, levels of stress and loneliness tend to decrease.",6,5,
84,Increased consumption of whole grains is associated with lower risks of heart disease.,3,5,
85,Higher engagement with science and technology education is linked to increased innovation in societies.,4,5,
86,"As awareness of mental health issues increases, stigma tends to decrease.",2,6,controversial
87,Greater time spent on hobbies is associated with higher levels of life satisfaction.,4,4,
88,Higher levels of community greenery are linked to reduced urban heat island effect.,4,4,too much subject knowledge required
89,"As exposure to natural light during the day increases, sleep quality tends to improve.",4,5,
90,Increased use of energy-efficient appliances is associated with lower electricity bills.,4,7,
91,Greater adherence to a Mediterranean diet is linked to a lower risk of neurodegenerative diseases.,4,4,too much subject knowledge required
92,"As pedestrian-friendly infrastructure improves, urban walkability tends to increase.",4,6,
93,Higher consumption of nuts and seeds is associated with reduced risk of cardiovascular diseases.,3,3,
94,Increased engagement in volunteer work is linked to a greater sense of purpose and well-being.,4,4,too much subject knowledge required
