Number,Statements,Topic_Emotionality,Strength_of_Correlation,Notes
1,Higher consumption of fruits and vegetables is associated with lower risks of heart disease.,4,4,
2,Increased physical activity leads to improved mental health.,7,6,
3,"As educational attainment rises, unemployment rates typically decrease.",4,3,
4,Greater social media usage is linked with higher levels of anxiety.,2,5,
5,Increased sugar intake is associated with a higher risk of type 2 diabetes.,3,6,
6,Higher levels of air pollution are correlated with increased respiratory problems.,1,5,
7,More frequent reading in childhood is associated with better language skills in adulthood.,5,4,
8,"As global temperatures rise, ice caps and glaciers melt at a faster rate.",2,7,
9,Greater water consumption is linked to improved kidney function.,4,3,
10,Higher levels of job satisfaction are associated with lower employee turnover rates.,4,5,
11,"As the amount of sleep decreases, the risk of obesity increases.",3,4,
12,Increased exposure to sunlight is correlated with higher vitamin D levels.,5,7,
13,Greater involvement in community activities is linked with higher levels of happiness.,6,5,
14,"As caffeine consumption increases, so does the average heart rate.",4,7,
15,Higher educational investments in a country are associated with better economic growth.,5,4,
16,Increased alcohol consumption is linked to higher risks of liver disease.,1,7,
17,"As screen time increases, physical activity levels tend to decrease.",3,5,
18,Greater intake of omega-3 fatty acids is associated with lower inflammation levels.,5,3,
19,Higher levels of parental involvement in education are correlated with better student performance.,5,6,
20,Increased urbanization is linked to higher levels of air pollution.,2,6,
21,"As personal savings rates rise, financial stability tends to improve.",4,5,
22,Greater consumption of processed foods is associated with an increased risk of chronic diseases.,2,4,
23,"As the use of renewable energy sources increases, greenhouse gas emissions decrease.",5,7,
24,Higher stress levels are linked to a greater risk of heart disease.,1,5,
25,Increased time spent in nature is associated with improved mental health.,6,4,
26,"As the population density increases, the spread of infectious diseases becomes more likely.",2,5,
27,Greater frequency of exercise is linked to a lower risk of depression.,5,6,
28,Higher dietary fiber intake is associated with lower rates of colorectal cancer.,3,6,Emotion score is tricky here
29,"As water scarcity increases, agricultural yields tend to decrease.",1,5,
30,Increased use of antibiotics is linked to the development of antibiotic-resistant bacteria.,1,6,
31,Higher consumption of antioxidants is associated with a lower risk of certain cancers.,4,3,
32,"As public transportation usage increases, urban air quality tends to improve.",5,4,
33,Greater exposure to music education is linked to enhanced cognitive development in children.,6,3,
34,Higher levels of social support are associated with better recovery outcomes for mental health conditions.,3,5,
35,Increased consumption of fast food is linked to obesity.,2,7,
36,"As voter turnout increases, the representation of public interests in government may improve.",4,5,
37,Greater use of helmets is associated with a lower incidence of head injuries in cyclists.,4,7,
38,Higher minimum wages are linked to reduced poverty rates.,4,5,
39,"As the frequency of handwashing increases, the spread of common illnesses decreases.",4,5,
40,Increased green space in urban areas is associated with lower stress levels among residents.,6,4,
41,Higher intake of trans fats is linked to an increased risk of heart disease.,2,7,
42,"As the quality of healthcare improves, life expectancy tends to increase.",5,7,
43,Greater exposure to secondhand smoke is associated with higher risks of respiratory diseases.,2,3,
44,Higher levels of job autonomy are linked to increased job satisfaction.,5,5,
