factor,slider.response,my_rs,difference
standard_plot,0.075925954,0.217954545,0.142028591
standard_plot,0.067592621,0.271818182,0.204225561
standard_plot,0.210185199,0.738636364,0.528451165
standard_plot,0.067592621,0.541136364,0.473543743
standard_plot,0.101851866,0.487272727,0.385420861
size_manipulated,0.039814843,0.217954545,0.178139702
size_manipulated,0.489814843,0.666818182,0.177003339
size_manipulated,0.714814843,0.828409091,0.113594248
standard_plot,0.862037065,0.99,0.127962935
standard_plot,0.152777778,0.379545455,0.226767677
standard_plot,0.377777778,0.828409091,0.450631313
standard_plot,0.860185242,0.954090909,0.093905667
size_manipulated,0.703703732,0.7925,0.088796268
size_manipulated,0.503703732,0.756590909,0.252887177
standard_plot,0.14629631,0.702727273,0.556430963
size_manipulated,0.073148176,0.379545455,0.306397279
standard_plot,0.253703732,0.612954545,0.359250813
standard_plot,0.477777778,0.810454545,0.332676767
standard_plot,0.632407464,0.882272727,0.249865263
size_manipulated,0.364814843,0.648863636,0.284048793
size_manipulated,0.700925954,0.900227273,0.199301319
size_manipulated,0.069444444,0.325681818,0.256237374
size_manipulated,0.158333333,0.235909091,0.077575758
standard_plot,0.311111111,0.720681818,0.409570707
standard_plot,0.579629686,0.900227273,0.320597587
standard_plot,0.050925954,0.253863636,0.202937682
size_manipulated,0.93148151,0.972045455,0.040563945
standard_plot,0.177777778,0.559090909,0.381313131
standard_plot,0.088888889,0.505227273,0.416338384
size_manipulated,0.943518575,0.99,0.046481425
standard_plot,0.58148151,0.846363636,0.264882126
size_manipulated,0.048148176,0.271818182,0.223670006
standard_plot,0.617592621,0.918181818,0.300589197
size_manipulated,0.801851908,0.720681818,-0.08117009
size_manipulated,0.880555556,0.936136364,0.055580808
standard_plot,0.032407422,0.343636364,0.311228942
size_manipulated,0.689814843,0.559090909,-0.130723934
standard_plot,0.023148176,0.433409091,0.410260915
size_manipulated,0.368518575,0.361590909,-0.006927666
size_manipulated,0.278703732,0.343636364,0.064932632
standard_plot,0.299074088,0.684772727,0.385698639
size_manipulated,0.7,0.738636364,0.038636364
standard_plot,0.10648151,0.469318182,0.362836672
size_manipulated,0.675,0.595,-0.08
size_manipulated,0.593518575,0.541136364,-0.052382211
standard_plot,0.070370399,0.415454545,0.345084146
size_manipulated,0.505555556,0.577045455,0.071489899
size_manipulated,0.350925954,0.415454545,0.064528591
standard_plot,0.912963019,0.972045455,0.059082436
size_manipulated,0.828703732,0.684772727,-0.143931005
standard_plot,0.139814843,0.595,0.455185157
size_manipulated,0.872222222,0.702727273,-0.169494949
size_manipulated,0.323148176,0.469318182,0.146170006
standard_plot,0.276851866,0.774545455,0.497693589
size_manipulated,0.465740797,0.487272727,0.02153193
size_manipulated,0.801851908,0.846363636,0.044511728
size_manipulated,0.474074131,0.523181818,0.049107687
size_manipulated,0.941666667,0.918181818,-0.023484849
standard_plot,0.261111111,0.666818182,0.405707071
size_manipulated,0.148148176,0.307727273,0.159579097
standard_plot,0.773148176,0.936136364,0.162988188
standard_plot,0.009259288,0.289772727,0.280513439
size_manipulated,0.675,0.774545455,0.099545455
size_manipulated,0.552777778,0.433409091,-0.119368687
standard_plot,0.627777778,0.864318182,0.236540404
size_manipulated,0.687963019,0.630909091,-0.057053928
size_manipulated,0.02129631,0.2,0.17870369
standard_plot,0.176851866,0.235909091,0.059057225
standard_plot,0.633333333,0.756590909,0.123257576
size_manipulated,0.310185199,0.3975,0.087314801
standard_plot,0.310185199,0.630909091,0.320723892
standard_plot,0.235185199,0.523181818,0.287996619
size_manipulated,0.275925954,0.612954545,0.337028591
size_manipulated,0.742592621,0.810454545,0.067861924
standard_plot,0.057407422,0.451363636,0.393956214
size_manipulated,0.472222222,0.451363636,-0.020858586
standard_plot,0.175,0.2,0.025
size_manipulated,0.75648151,0.864318182,0.107836672
standard_plot,0.097222222,0.307727273,0.210505051
standard_plot,0.009259288,0.3975,0.388240712
standard_plot,0.036111111,0.577045455,0.540934344
standard_plot,0.202777778,0.648863636,0.446085858
size_manipulated,0.930555556,0.954090909,0.023535353
standard_plot,0.098148176,0.325681818,0.227533642
size_manipulated,0.20648151,0.289772727,0.083291217
size_manipulated,0.9,0.882272727,-0.017727273
standard_plot,0.091666667,0.361590909,0.269924242
standard_plot,0.405555556,0.7925,0.386944444
size_manipulated,0.152777778,0.505227273,0.352449495
size_manipulated,0.258333333,0.253863636,-0.004469697
standard_plot,0.167821757,0.541136364,0.373314607
standard_plot,0.067269084,0.325681818,0.258412734
size_manipulated,0.163059828,0.253863636,0.090803808
size_manipulated,0.959614665,0.972045455,0.01243079
size_manipulated,0.069308404,0.289772727,0.220464323
size_manipulated,0.522611152,0.541136364,0.018525212
standard_plot,0.854863281,0.882272727,0.027409446
size_manipulated,0.725577257,0.505227273,-0.220349984
size_manipulated,0.808504232,0.612954545,-0.195549687
standard_plot,0.045520325,0.451363636,0.405843311
size_manipulated,0.095167982,0.343636364,0.248468382
standard_plot,0.072894457,0.307727273,0.234832816
standard_plot,0.04116099,0.253863636,0.212702646
standard_plot,0.047432488,0.469318182,0.421885694
standard_plot,0.050481567,0.7925,0.742018433
standard_plot,0.044205797,0.828409091,0.784203294
size_manipulated,0.242233548,0.379545455,0.137311907
size_manipulated,1,0.936136364,-0.063863636
size_manipulated,0.794306641,0.559090909,-0.235215732
standard_plot,0.129158902,0.271818182,0.14265928
size_manipulated,0.987431776,0.882272727,-0.105159049
size_manipulated,0.903957926,0.7925,-0.111457926
size_manipulated,0.903957926,0.666818182,-0.237139744
size_manipulated,0.817393934,0.810454545,-0.006939389
standard_plot,0.061182827,0.505227273,0.444044446
standard_plot,0.048940125,0.523181818,0.474241693
size_manipulated,0.046717902,0.271818182,0.22510028
size_manipulated,0.708155043,0.595,-0.113155043
standard_plot,0.915137668,0.954090909,0.038953241
size_manipulated,0.732466159,0.487272727,-0.245193432
standard_plot,0.831751777,0.918181818,0.086430041
size_manipulated,0.221556668,0.235909091,0.014352423
size_manipulated,0.153848843,0.361590909,0.207742066
standard_plot,0.726196018,0.810454545,0.084258527
size_manipulated,0.831544461,0.774545455,-0.056999006
size_manipulated,0.316859402,0.433409091,0.116549689
standard_plot,0.053436347,0.379545455,0.326109108
size_manipulated,0.131456604,0.415454545,0.283997941
size_manipulated,0.766651679,0.648863636,-0.117788043
standard_plot,0.448090685,0.648863636,0.200772951
size_manipulated,0.152635396,0.307727273,0.155091877
size_manipulated,0.953720432,0.846363636,-0.107356796
standard_plot,0.205057271,0.738636364,0.533579093
standard_plot,0.072341953,0.433409091,0.361067138
standard_plot,1,0.99,-0.01
size_manipulated,0.207708571,0.2,-0.007708571
size_manipulated,1,0.99,-0.01
standard_plot,1,0.972045455,-0.027954545
size_manipulated,0.843733181,0.738636364,-0.105096817
size_manipulated,0.099479268,0.325681818,0.22620255
size_manipulated,0.099479268,0.451363636,0.351884368
standard_plot,0.621527981,0.846363636,0.224835655
standard_plot,0.479477743,0.720681818,0.241204075
standard_plot,0.284554511,0.684772727,0.400218216
standard_plot,0.472451104,0.756590909,0.284139805
standard_plot,0.702809245,0.864318182,0.161508937
standard_plot,0.290627645,0.666818182,0.376190537
standard_plot,0.083316786,0.702727273,0.619410487
standard_plot,0.048384332,0.415454545,0.367070213
standard_plot,0.108255141,0.289772727,0.181517586
size_manipulated,0.55882487,0.684772727,0.125947857
standard_plot,0.849159478,0.936136364,0.086976886
standard_plot,0.258142192,0.559090909,0.300948717
size_manipulated,1,0.864318182,-0.135681818
size_manipulated,0.745188395,0.523181818,-0.222006577
standard_plot,0.020521817,0.235909091,0.215387274
size_manipulated,0.021077372,0.702727273,0.681649901
size_manipulated,0.898039958,0.918181818,0.02014186
size_manipulated,0.711947157,0.720681818,0.008734661
