unique_item_no_A,images_atypical,plots_with_labels_A,colour,instructions
1A,1_spice_A_hi.png,all_plots/1_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
2A,2_spice_A_hi.png,all_plots/2_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
3A,3_spice_A_hi.png,all_plots/3_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
4A,4_spice_A_hi.png,all_plots/4_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
5A,5_spice_A_hi.png,all_plots/5_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
6A,6_spice_A_hi.png,all_plots/6_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
7A,7_spice_A_hi.png,all_plots/7_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
8A,8_spice_A_hi.png,all_plots/8_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
9A,9_spice_A_hi.png,all_plots/9_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
10A,10_spice_A_hi.png,all_plots/10_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
11A,11_spice_A_hi.png,all_plots/11_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
12A,12_spice_A_hi.png,all_plots/12_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
13A,13_spice_A_hi.png,all_plots/13_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
14A,14_spice_A_hi.png,all_plots/14_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
15A,15_spice_A_hi.png,all_plots/15_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
16A,16_spice_A_hi.png,all_plots/16_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
17A,17_spice_A_hi.png,all_plots/17_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
18A,18_spice_A_hi.png,all_plots/18_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
19A,19_spice_A_hi.png,all_plots/19_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
20A,20_spice_A_hi.png,all_plots/20_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
21A,21_spice_A_hi.png,all_plots/21_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
22A,22_spice_A_hi.png,all_plots/22_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
23A,23_spice_A_hi.png,all_plots/23_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
24A,24_spice_A_hi.png,all_plots/24_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
25A,25_spice_A_hi.png,all_plots/25_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
26A,26_spice_A_hi.png,all_plots/26_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
27A,27_spice_A_hi.png,all_plots/27_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
28A,28_spice_A_hi.png,all_plots/28_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
29A,29_spice_A_hi.png,all_plots/29_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
30A,30_spice_A_hi.png,all_plots/30_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
31A,31_spice_A_hi.png,all_plots/31_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
32A,32_spice_A_hi.png,all_plots/32_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
33A,33_spice_A_hi.png,all_plots/33_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
34A,34_spice_A_hi.png,all_plots/34_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
35A,35_spice_A_hi.png,all_plots/35_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
