unique_item_no_T,images_typical,plots_with_labels_T,colour,instructions
1T,1_spice_T_hi.png,all_plots/1_spice_T_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
2T,2_spice_T_hi.png,all_plots/2_spice_T_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
3T,3_spice_T_hi.png,all_plots/3_spice_T_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
4T,4_spice_T_hi.png,all_plots/4_spice_T_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
5T,5_spice_T_hi.png,all_plots/5_spice_T_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
6T,6_spice_T_hi.png,all_plots/6_spice_T_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
7T,7_spice_T_hi.png,all_plots/7_spice_T_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
8T,8_spice_T_hi.png,all_plots/8_spice_T_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
9T,9_spice_T_hi.png,all_plots/9_spice_T_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
10T,10_spice_T_hi.png,all_plots/10_spice_T_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
11T,11_spice_T_hi.png,all_plots/11_spice_T_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
12T,12_spice_T_hi.png,all_plots/12_spice_T_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
13T,13_spice_T_hi.png,all_plots/13_spice_T_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
14T,14_spice_T_hi.png,all_plots/14_spice_T_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
15T,15_spice_T_hi.png,all_plots/15_spice_T_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
16T,16_spice_T_hi.png,all_plots/16_spice_T_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
17T,17_spice_T_hi.png,all_plots/17_spice_T_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
18T,18_spice_T_hi.png,all_plots/18_spice_T_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
19T,19_spice_T_hi.png,all_plots/19_spice_T_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
20T,20_spice_T_hi.png,all_plots/20_spice_T_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
21T,21_spice_T_hi.png,all_plots/21_spice_T_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
22T,22_spice_T_hi.png,all_plots/22_spice_T_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
23T,23_spice_T_hi.png,all_plots/23_spice_T_hi.png,black,Please look at the following plot and use the slider to estimate the level of relatedness.
