instructions,q1_slider_DC_2.response,consent_loop.thisN,q3_slider_DC.response,expName,warning.started,pre_beliefs.stopped,slider_emotion.response,study_id,key_resp_6.keys,__session,__participant,images_typical,__experimentName,final.started,intro.started,final.stopped,debrief.started,key_resp_6.rt,key_resp_4.rt,trials.thisN,trials.thisTrialN,pre_beliefs.started,practice.started,consent.stopped,trial_w_slider.started,consent.started,key_resp_exp.rt,begin_experiment.stopped,literacy.stopped,literacy.started,q2_slider_DC.response,q4_slider.response,instructions.started,ready_to_go.started,key_resp_exp_post.keys,consent_loop.thisTrialN,consent_item,slide_counter,date,trials.thisRepN,unique_item_no_T,practice_key_resp.rt,slider_emotion.rt,q3_slider.response,slider_belief_post.response,OS,gender_slider.response,plots_with_labels_T,trials.thisIndex,demographics.started,q4_slider_DC.response,q2_slider_DC_2.response,consent_key.keys,key_resp_4.duration,consent_key.rt,DC_page_2.stopped,q1_slider_DC_3.response,DC_page_3.stopped,instructions_loop.thisIndex,instructions_loop.thisRepN,slider.response,consent_key.duration,key_resp_4.keys,debrief.stopped,DC_page_1.stopped,colour,q2_slider.response,consent_loop.thisIndex,post_beliefs.started,practice.stopped,instructions_loop.ran,trials.ran,instructions_loop.thisN,post_beliefs.stopped,q2_slider_DC_3.response,trial_w_slider.stopped,DC_page_3.started,begin_experiment.started,DC_page_2.started,slider_belief.rt,DC_page_1.started,key_resp_exp.keys,q4_slider_DC_2.response,slider_belief.response,warning.stopped,ready_to_go.stopped,instructions.stopped,instructions_loop.thisTrialN,q3_slider_DC_2.response,q1_slider_DC.response,q3_slider_DC_3.response,psychopyVersion,consent_loop.thisRepN,consent_count,q4_slider_DC_3.response,age_textbox.text,instructions_text,q5_slider.response,key_resp_exp_post.rt,__datetime,frameRate,practice_key_resp.keys,practice_slider_2.rt,slider.rt,q1_slider.response,demographics.stopped,practice_slider_2.response,consent_loop.ran,intro.stopped,slider_belief_post.rt,session,total_correct,passed,participant
﻿,NA,NA,NA,atypical_scatterplots_main_test_T,NA,NA,NA,66868c1df973f7ededaff065,NA,001,PARTICIPANT,NA,atypical_scatterplots_main_T,NA,1.9999999925701e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-07-05_11h57.00.002,NA,NA,NA,NA,NA,NA,Win32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024.1.1,NA,NA,NA,NA,NA,NA,NA,2024-07-05_11h56.51.906,59.52380952380566,NA,NA,NA,NA,NA,NA,NA,4.139900000000374,NA,6687d1694e15829843e4dbb4,2,TRUE,26
﻿,NA,0,NA,atypical_scatterplots_main_test_T,NA,NA,NA,66868c1df973f7ededaff065,NA,001,PARTICIPANT,NA,atypical_scatterplots_main_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.77290000000037,NA,23.126,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"1 of 6
I confirm that I have read the information sheet (Version 6, 01/07/2024) for this study and have had the opportunity to consider the information and ask questions and had these answered satisfactorily.",NA,2024-07-05_11h57.00.002,NA,NA,NA,NA,NA,NA,Win32,NA,NA,NA,NA,NA,NA,y,NA,2.61929999999888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024.1.1,0,1 of 6,NA,NA,NA,NA,NA,2024-07-05_11h56.51.906,59.52380952380566,NA,NA,NA,NA,NA,NA,1,NA,NA,6687d1694e15829843e4dbb4,2,TRUE,26
﻿,NA,1,NA,atypical_scatterplots_main_test_T,NA,NA,NA,66868c1df973f7ededaff065,NA,001,PARTICIPANT,NA,atypical_scatterplots_main_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.27290000000037,NA,26.773599999999625,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"2 of 6
I understand that my participation in the study is voluntary and that I am free to withdraw at any time without giving a reason, and without detriment to myself, by pressing the ‘Escape’ key to quit the experiment, but I will not receive payment for this study. I understand that it will not be possible to remove my data from the project once it has been anonymised and forms part of the data set. 
I agree to take part on this basis. 
",NA,2024-07-05_11h57.00.002,NA,NA,NA,NA,NA,NA,Win32,NA,NA,NA,NA,NA,NA,y,NA,5.467599999999628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024.1.1,0,2 of 6,NA,NA,NA,NA,NA,2024-07-05_11h56.51.906,59.52380952380566,NA,NA,NA,NA,NA,NA,1,NA,NA,6687d1694e15829843e4dbb4,2,TRUE,26
﻿,NA,2,NA,atypical_scatterplots_main_test_T,NA,NA,NA,66868c1df973f7ededaff065,NA,001,PARTICIPANT,NA,atypical_scatterplots_main_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.02319999999926,NA,33.27319999999926,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"3 of 6
I agree that any data collected may be published in anonymous form in academic books, reports, conference presentations or journals. 
I agree to take part on this basis. 
",NA,2024-07-05_11h57.00.002,NA,NA,NA,NA,NA,NA,Win32,NA,NA,NA,NA,NA,NA,y,NA,0.724299999998884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024.1.1,0,3 of 6,NA,NA,NA,NA,NA,2024-07-05_11h56.51.906,59.52380952380566,NA,NA,NA,NA,NA,NA,1,NA,NA,6687d1694e15829843e4dbb4,2,TRUE,26
﻿,NA,3,NA,atypical_scatterplots_main_test_T,NA,NA,NA,66868c1df973f7ededaff065,NA,001,PARTICIPANT,NA,atypical_scatterplots_main_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.68919999999925,NA,35.02409999999963,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"4 of 6
I understand that a fully anonymised dataset will be deposited in an open data repository at the end of the project.
I agree to take part on this basis.
",NA,2024-07-05_11h57.00.002,NA,NA,NA,NA,NA,NA,Win32,NA,NA,NA,NA,NA,NA,y,NA,0.6316999999992561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024.1.1,0,4 of 6,NA,NA,NA,NA,NA,2024-07-05_11h56.51.906,59.52380952380566,NA,NA,NA,NA,NA,NA,1,NA,NA,6687d1694e15829843e4dbb4,2,TRUE,26
﻿,NA,4,NA,atypical_scatterplots_main_test_T,NA,NA,NA,66868c1df973f7ededaff065,NA,001,PARTICIPANT,NA,atypical_scatterplots_main_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.6895,NA,36.6895,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"5 of 6
I understand that data collected during the study may be looked at by individuals from The University of Manchester or regulatory authorities, where it is relevant to my taking part in this research. I give permission for these individuals to have access to my data.
",NA,2024-07-05_11h57.00.002,NA,NA,NA,NA,NA,NA,Win32,NA,NA,NA,NA,NA,NA,y,NA,0.9717999999988862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024.1.1,0,5 of 6,NA,NA,NA,NA,NA,2024-07-05_11h56.51.906,59.52380952380566,NA,NA,NA,NA,NA,NA,1,NA,NA,6687d1694e15829843e4dbb4,2,TRUE,26
﻿,NA,5,NA,atypical_scatterplots_main_test_T,NA,NA,NA,66868c1df973f7ededaff065,NA,001,PARTICIPANT,NA,atypical_scatterplots_main_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.439400000000376,NA,38.68959999999963,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"6 of 6
I agree to take part in this study.
",NA,2024-07-05_11h57.00.002,NA,NA,NA,NA,NA,NA,Win32,NA,NA,NA,NA,NA,NA,y,NA,3.723500000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024.1.1,0,6 of 6,NA,NA,NA,NA,NA,2024-07-05_11h56.51.906,59.52380952380566,NA,NA,NA,NA,NA,NA,1,NA,NA,6687d1694e15829843e4dbb4,2,TRUE,26
﻿,NA,NA,NA,atypical_scatterplots_main_test_T,43.43959999999963,NA,NA,66868c1df973f7ededaff065,NA,001,PARTICIPANT,NA,atypical_scatterplots_main_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-07-05_11h57.00.002,NA,NA,NA,NA,NA,NA,Win32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.922900000000375,NA,NA,NA,NA,NA,NA,2024.1.1,NA,NA,NA,NA,NA,NA,NA,2024-07-05_11h56.51.906,59.52380952380566,NA,NA,NA,NA,NA,NA,NA,NA,NA,6687d1694e15829843e4dbb4,2,TRUE,26
﻿,NA,NA,NA,atypical_scatterplots_main_test_T,NA,NA,NA,66868c1df973f7ededaff065,NA,001,PARTICIPANT,NA,atypical_scatterplots_main_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-07-05_11h57.00.002,NA,NA,NA,NA,NA,NA,Win32,Female,NA,NA,49.923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024.1.1,NA,NA,NA,48,NA,NA,NA,2024-07-05_11h56.51.906,59.52380952380566,NA,NA,NA,NA,55.82390000000038,NA,NA,NA,NA,6687d1694e15829843e4dbb4,2,TRUE,26
﻿,NA,NA,NA,atypical_scatterplots_main_test_T,NA,NA,NA,66868c1df973f7ededaff065,NA,001,PARTICIPANT,NA,atypical_scatterplots_main_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.24059999999963,55.82409999999963,NA,3,NA,NA,NA,NA,NA,NA,2024-07-05_11h57.00.002,NA,NA,NA,NA,4,NA,Win32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024.1.1,NA,NA,NA,NA,NA,3,NA,2024-07-05_11h56.51.906,59.52380952380566,NA,NA,NA,3,NA,NA,NA,NA,NA,6687d1694e15829843e4dbb4,2,TRUE,26
