participant,item,condition,slider.response,my_rs,total_residuals,unique_item_no,trials.thisN,session,half,literacy,age_textbox.text,gender_slider.response,difference
39,17,D_exp2,0.2962962962962963,0.472727272727273,89.16,68,0,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.17643097643097672
39,12,C_exp2,0.14074074074074072,0.3875,93.21,47,1,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.2467592592592593
39,15,C_exp2,0.23888888888888887,0.438636363636364,90.98,59,2,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.19974747474747512
39,20,D_exp2,0.524074074074074,0.523863636363636,86.18,80,3,62e3e2c63dde4a27a4c8309b,First,23,25,F,-2.1043771043804949e-4
39,34,B_exp2,0.787962962962963,0.7625,65.09,134,4,62e3e2c63dde4a27a4c8309b,First,23,25,F,-0.02546296296296302
39,30,C_exp2,0.15370370370370373,0.694318181818182,72.45,119,5,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.5406144781144782
39,44,B_exp2,0.9212962962962964,0.932954545454545,36.02,174,6,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.011658249158248646
39,21,B_exp2,0.1925925925925926,0.540909090909091,85.06,82,7,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.3483164983164984
39,1,B_exp2,0.07592592592592595,0.2,98.47,2,8,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.12407407407407406
39,17,A_exp2,0.07037037037037036,0.472727272727273,89.16,65,9,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.40235690235690263
39,36,C_exp2,0.02407407407407408,0.796590909090909,60.8,143,10,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.772516835016835
39,15,D_exp2,0.3648148148148148,0.438636363636364,90.98,60,11,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.07382154882154918
39,28,B_exp2,0.2675925925925926,0.660227272727273,75.63,110,12,62e3e2c63dde4a27a4c8309b,First,23,25,F,0.3926346801346804
