participant,item,condition,slider.response,my_rs,total_residuals,unique_item_no,session,trials.thisN,half,literacy,age_textbox.text,gender_slider.response,dot_pitch,res_width,VT_no_correct,difference
6,2,D_exp3,0.075925954,0.217954545,98.2,8,640f3ac4224f3464655763ad,0,First,15,25,F,0.339328125,1280,6,0.14202859099999998
6,7,C_exp3,0.062037065,0.307727273,96.03,27,640f3ac4224f3464655763ad,1,First,15,25,F,0.339328125,1280,6,0.24569020800000002
6,5,D_exp3,0.067592621,0.271818182,96.99,20,640f3ac4224f3464655763ad,2,First,15,25,F,0.339328125,1280,6,0.204225561
6,43,C_exp3,0.538888889,0.954090909,30.04,171,640f3ac4224f3464655763ad,3,First,15,25,F,0.339328125,1280,6,0.41520202000000006
6,31,D_exp3,0.210185199,0.738636364,67.86,124,640f3ac4224f3464655763ad,4,First,15,25,F,0.339328125,1280,6,0.528451165
6,20,D_exp3,0.067592621,0.541136364,85.04,80,640f3ac4224f3464655763ad,5,First,15,25,F,0.339328125,1280,6,0.47354374299999996
6,17,D_exp3,0.101851866,0.487272727,88.33,68,640f3ac4224f3464655763ad,6,First,15,25,F,0.339328125,1280,6,0.385420861
6,2,A_exp3,0.039814843,0.217954545,98.2,5,640f3ac4224f3464655763ad,7,First,15,25,F,0.339328125,1280,6,0.178139702
6,27,A_exp3,0.489814843,0.666818182,75.05,105,640f3ac4224f3464655763ad,8,First,15,25,F,0.339328125,1280,6,0.17700333899999998
6,1,B_exp3,0.179629644,0.2,98.47,2,640f3ac4224f3464655763ad,9,First,15,25,F,0.339328125,1280,6,0.020370356000000006
6,34,C_exp3,0.419444444,0.7925,61.29,135,640f3ac4224f3464655763ad,10,First,15,25,F,0.339328125,1280,6,0.37305555599999995
6,36,A_exp3,0.714814843,0.828409091,56.22,141,640f3ac4224f3464655763ad,11,First,15,25,F,0.339328125,1280,6,0.11359424800000006
6,45,D_exp3,0.862037065,0.99,14.13,180,640f3ac4224f3464655763ad,12,First,15,25,F,0.339328125,1280,6,0.127962935
6,16,C_exp3,0.149074088,0.469318182,89.4,63,640f3ac4224f3464655763ad,13,First,15,25,F,0.339328125,1280,6,0.320244094
6,15,B_exp3,0.132407422,0.451363636,90.29,58,640f3ac4224f3464655763ad,14,First,15,25,F,0.339328125,1280,6,0.318956214
6,11,D_exp3,0.152777778,0.379545455,93.55,44,640f3ac4224f3464655763ad,15,First,15,25,F,0.339328125,1280,6,0.22676767699999997
6,17,B_exp3,0.208333333,0.487272727,88.33,66,640f3ac4224f3464655763ad,16,First,15,25,F,0.339328125,1280,6,0.278939394
6,36,D_exp3,0.377777778,0.828409091,56.22,144,640f3ac4224f3464655763ad,17,First,15,25,F,0.339328125,1280,6,0.45063131300000003
6,43,B_exp3,0.814814843,0.954090909,30.04,170,640f3ac4224f3464655763ad,18,First,15,25,F,0.339328125,1280,6,0.1392760660000001
6,43,D_exp3,0.860185242,0.954090909,30.04,172,640f3ac4224f3464655763ad,19,First,15,25,F,0.339328125,1280,6,0.09390566700000003
6,34,A_exp3,0.703703732,0.7925,61.29,133,640f3ac4224f3464655763ad,20,First,15,25,F,0.339328125,1280,6,0.08879626799999996
6,24,C_exp3,0.253703732,0.612954545,79.66,95,640f3ac4224f3464655763ad,21,First,15,25,F,0.339328125,1280,6,0.359250813
6,32,A_exp3,0.503703732,0.756590909,65.73,125,640f3ac4224f3464655763ad,22,First,15,25,F,0.339328125,1280,6,0.2528871770000001
6,29,D_exp3,0.14629631,0.702727273,71.6,116,640f3ac4224f3464655763ad,23,First,15,25,F,0.339328125,1280,6,0.5564309630000001
6,11,A_exp3,0.073148176,0.379545455,93.55,41,640f3ac4224f3464655763ad,24,First,15,25,F,0.339328125,1280,6,0.30639727899999997
6,24,D_exp3,0.253703732,0.612954545,79.66,96,640f3ac4224f3464655763ad,25,First,15,25,F,0.339328125,1280,6,0.359250813
6,35,D_exp3,0.477777778,0.810454545,58.87,140,640f3ac4224f3464655763ad,26,First,15,25,F,0.339328125,1280,6,0.33267676700000004
6,45,B_exp3,0.947222222,0.99,14.13,178,640f3ac4224f3464655763ad,27,First,15,25,F,0.339328125,1280,6,0.042777778000000044
6,39,D_exp3,0.632407464,0.882272727,47.19,156,640f3ac4224f3464655763ad,28,First,15,25,F,0.339328125,1280,6,0.249865263
6,42,C_exp3,0.726851908,0.936136364,35.25,167,640f3ac4224f3464655763ad,29,First,15,25,F,0.339328125,1280,6,0.209284456
6,5,B_exp3,0.155555556,0.271818182,96.99,18,640f3ac4224f3464655763ad,30,First,15,25,F,0.339328125,1280,6,0.11626262600000001
6,26,A_exp3,0.364814843,0.648863636,76.62,101,640f3ac4224f3464655763ad,31,First,15,25,F,0.339328125,1280,6,0.28404879299999997
6,40,A_exp3,0.700925954,0.900227273,43.56,157,640f3ac4224f3464655763ad,32,First,15,25,F,0.339328125,1280,6,0.19930131900000003
6,8,A_exp3,0.069444444,0.325681818,95.52,29,640f3ac4224f3464655763ad,33,First,15,25,F,0.339328125,1280,6,0.256237374
6,26,B_exp3,0.208333333,0.648863636,76.62,102,640f3ac4224f3464655763ad,34,First,15,25,F,0.339328125,1280,6,0.44053030299999996
6,3,B_exp3,0.129629644,0.235909091,97.87,10,640f3ac4224f3464655763ad,35,First,15,25,F,0.339328125,1280,6,0.106279447
6,2,B_exp3,0.060185199,0.217954545,98.2,6,640f3ac4224f3464655763ad,36,First,15,25,F,0.339328125,1280,6,0.157769346
6,45,C_exp3,0.944444444,0.99,14.13,179,640f3ac4224f3464655763ad,37,First,15,25,F,0.339328125,1280,6,0.04555555599999994
6,3,A_exp3,0.158333333,0.235909091,97.87,9,640f3ac4224f3464655763ad,38,First,15,25,F,0.339328125,1280,6,0.077575758
6,36,C_exp3,0.382407464,0.828409091,56.22,143,640f3ac4224f3464655763ad,39,First,15,25,F,0.339328125,1280,6,0.44600162700000007
6,30,D_exp3,0.311111111,0.720681818,69.76,120,640f3ac4224f3464655763ad,40,First,15,25,F,0.339328125,1280,6,0.409570707
6,1,C_exp3,0.092592621,0.2,98.47,3,640f3ac4224f3464655763ad,41,First,15,25,F,0.339328125,1280,6,0.10740737900000001
6,40,D_exp3,0.579629686,0.900227273,43.56,160,640f3ac4224f3464655763ad,42,First,15,25,F,0.339328125,1280,6,0.3205975870000001
6,28,C_exp3,0.278703732,0.684772727,73.36,111,640f3ac4224f3464655763ad,43,First,15,25,F,0.339328125,1280,6,0.40606899500000004
6,4,D_exp3,0.050925954,0.253863636,97.45,16,640f3ac4224f3464655763ad,44,First,15,25,F,0.339328125,1280,6,0.202937682
6,9,C_exp3,0.050925954,0.343636364,94.9,35,640f3ac4224f3464655763ad,45,First,15,25,F,0.339328125,1280,6,0.29271041000000003
6,44,A_exp3,0.93148151,0.972045455,23.65,173,640f3ac4224f3464655763ad,46,First,15,25,F,0.339328125,1280,6,0.040563944999999935
6,31,C_exp3,0.247222222,0.738636364,67.86,123,640f3ac4224f3464655763ad,47,First,15,25,F,0.339328125,1280,6,0.491414142
6,21,D_exp3,0.177777778,0.559090909,83.77,84,640f3ac4224f3464655763ad,48,First,15,25,F,0.339328125,1280,6,0.381313131
6,18,D_exp3,0.088888889,0.505227273,87.36,72,640f3ac4224f3464655763ad,49,First,15,25,F,0.339328125,1280,6,0.416338384
6,45,A_exp3,0.943518575,0.99,14.13,177,640f3ac4224f3464655763ad,50,First,15,25,F,0.339328125,1280,6,0.046481424999999965
6,37,D_exp3,0.58148151,0.846363636,53.4,148,640f3ac4224f3464655763ad,51,First,15,25,F,0.339328125,1280,6,0.26488212599999994
6,5,A_exp3,0.048148176,0.271818182,96.99,17,640f3ac4224f3464655763ad,52,First,15,25,F,0.339328125,1280,6,0.22367000600000003
6,4,B_exp3,0.048148176,0.253863636,97.45,14,640f3ac4224f3464655763ad,53,First,15,25,F,0.339328125,1280,6,0.20571546000000002
6,41,D_exp3,0.617592621,0.918181818,39.66,164,640f3ac4224f3464655763ad,54,First,15,25,F,0.339328125,1280,6,0.300589197
6,6,B_exp3,0.154629644,0.289772727,96.58,22,640f3ac4224f3464655763ad,55,First,15,25,F,0.339328125,1280,6,0.135143083
6,30,A_exp3,0.801851908,0.720681818,69.76,117,640f3ac4224f3464655763ad,56,First,15,25,F,0.339328125,1280,6,-0.08117008999999997
6,42,A_exp3,0.880555556,0.936136364,35.25,165,640f3ac4224f3464655763ad,57,First,15,25,F,0.339328125,1280,6,0.05558080799999998
6,19,B_exp3,0.262962977,0.523181818,86.21,74,640f3ac4224f3464655763ad,58,First,15,25,F,0.339328125,1280,6,0.260218841
6,12,C_exp3,0.039814843,0.3975,92.82,47,640f3ac4224f3464655763ad,59,First,15,25,F,0.339328125,1280,6,0.35768515700000003
6,35,B_exp3,0.643518575,0.810454545,58.87,138,640f3ac4224f3464655763ad,60,First,15,25,F,0.339328125,1280,6,0.16693597000000004
6,9,D_exp3,0.032407422,0.343636364,94.9,36,640f3ac4224f3464655763ad,61,First,15,25,F,0.339328125,1280,6,0.311228942
6,11,C_exp3,0.012962977,0.379545455,93.55,43,640f3ac4224f3464655763ad,63,First,15,25,F,0.339328125,1280,6,0.366582478
6,42,B_exp3,0.917592621,0.936136364,35.25,166,640f3ac4224f3464655763ad,64,First,15,25,F,0.339328125,1280,6,0.018543742999999946
6,21,A_exp3,0.689814843,0.559090909,83.77,81,640f3ac4224f3464655763ad,65,First,15,25,F,0.339328125,1280,6,-0.13072393399999993
6,27,B_exp3,0.580555556,0.666818182,75.05,106,640f3ac4224f3464655763ad,66,First,15,25,F,0.339328125,1280,6,0.08626262600000001
6,14,D_exp3,0.023148176,0.433409091,91.2,56,640f3ac4224f3464655763ad,67,First,15,25,F,0.339328125,1280,6,0.410260915
6,41,C_exp3,0.771296353,0.918181818,39.66,163,640f3ac4224f3464655763ad,68,First,15,25,F,0.339328125,1280,6,0.146885465
6,10,A_exp3,0.368518575,0.361590909,94.23,37,640f3ac4224f3464655763ad,69,First,15,25,F,0.339328125,1280,6,-0.006927665999999999
6,9,A_exp3,0.278703732,0.343636364,94.9,33,640f3ac4224f3464655763ad,70,First,15,25,F,0.339328125,1280,6,0.06493263200000005
6,27,C_exp3,0.382407464,0.666818182,75.05,107,640f3ac4224f3464655763ad,71,First,15,25,F,0.339328125,1280,6,0.284410718
6,25,C_exp3,0.382407464,0.630909091,78.2,99,640f3ac4224f3464655763ad,72,First,15,25,F,0.339328125,1280,6,0.24850162700000006
6,30,B_exp3,0.570370399,0.720681818,69.76,118,640f3ac4224f3464655763ad,73,First,15,25,F,0.339328125,1280,6,0.150311419
6,29,B_exp3,0.646296353,0.702727273,71.6,114,640f3ac4224f3464655763ad,74,First,15,25,F,0.339328125,1280,6,0.05643092000000005
6,22,C_exp3,0.512963019,0.577045455,82.45,87,640f3ac4224f3464655763ad,75,First,15,25,F,0.339328125,1280,6,0.06408243600000008
6,28,D_exp3,0.299074088,0.684772727,73.36,112,640f3ac4224f3464655763ad,76,First,15,25,F,0.339328125,1280,6,0.385698639
6,12,B_exp3,0.192592621,0.3975,92.82,46,640f3ac4224f3464655763ad,77,First,15,25,F,0.339328125,1280,6,0.20490737900000003
6,31,A_exp3,0.7,0.738636364,67.86,121,640f3ac4224f3464655763ad,78,First,15,25,F,0.339328125,1280,6,0.038636364000000034
6,37,C_exp3,0.743518575,0.846363636,53.4,147,640f3ac4224f3464655763ad,79,First,15,25,F,0.339328125,1280,6,0.10284506100000002
6,16,D_exp3,0.10648151,0.469318182,89.4,64,640f3ac4224f3464655763ad,80,First,15,25,F,0.339328125,1280,6,0.36283667199999997
6,23,A_exp3,0.675,0.595,81.13,89,640f3ac4224f3464655763ad,81,First,15,25,F,0.339328125,1280,6,-0.08000000000000007
6,20,A_exp3,0.593518575,0.541136364,85.04,77,640f3ac4224f3464655763ad,82,First,15,25,F,0.339328125,1280,6,-0.05238221100000007
6,40,B_exp3,0.857407464,0.900227273,43.56,158,640f3ac4224f3464655763ad,85,First,15,25,F,0.339328125,1280,6,0.04281980900000004
6,23,B_exp3,0.675925954,0.595,81.13,90,640f3ac4224f3464655763ad,86,First,15,25,F,0.339328125,1280,6,-0.08092595400000002
6,13,D_exp3,0.070370399,0.415454545,91.98,52,640f3ac4224f3464655763ad,87,First,15,25,F,0.339328125,1280,6,0.34508414600000004
6,14,B_exp3,0.404629686,0.433409091,91.2,54,640f3ac4224f3464655763ad,88,First,15,25,F,0.339328125,1280,6,0.028779405000000036
6,22,A_exp3,0.505555556,0.577045455,82.45,85,640f3ac4224f3464655763ad,89,First,15,25,F,0.339328125,1280,6,0.07148989900000002
6,14,C_exp3,0.324074131,0.433409091,91.2,55,640f3ac4224f3464655763ad,90,First,15,25,F,0.339328125,1280,6,0.10933496000000004
6,11,B_exp3,0.426851908,0.379545455,93.55,42,640f3ac4224f3464655763ad,91,First,15,25,F,0.339328125,1280,6,-0.047306453000000026
6,13,A_exp3,0.350925954,0.415454545,91.98,49,640f3ac4224f3464655763ad,92,First,15,25,F,0.339328125,1280,6,0.06452859100000002
